gap_band,sample_size,top1_actual_win_rate,top1_place_rate,average_odds,win_roi,place_roi,win_profit
0-2%,68,0.23529411764705882,0.47058823529411764,5.622058823529412,97.05882352941177,79.41176470588235,-200.0
2-5%,55,0.2727272727272727,0.45454545454545453,4.789090909090909,97.81818181818181,68.36363636363636,-120.0
5-7.5%,38,0.2631578947368421,0.5263157894736842,3.1578947368421053,57.36842105263158,70.26315789473684,-1620.0
7.5-10%,12,0.16666666666666666,0.5833333333333334,3.225,36.666666666666664,87.5,-760.0
10%+,46,0.34782608695652173,0.6956521739130435,2.8195652173913044,63.47826086956522,79.13043478260869,-1680.0
