method,fit_phase,evaluation_phase,sample_size,brier_score,mean_probability,actual_win_rate
normalized,discovery,validation,923,0.06823680480428763,0.08125677139761647,0.08125677139761647
platt,discovery,validation,923,0.07035737708468566,0.08061541904155424,0.08125677139761647
isotonic,discovery,validation,923,0.06834517626531965,0.08108915088689723,0.08125677139761647
