distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
1300～1600m,53,11,0.20754716981132076,61.13207547169811,0.5660377358490566,76.79245283018868,
1700～2000m,215,58,0.26976744186046514,78.23255813953487,0.6046511627906976,88.93023255813954,
2100～2400m,7,2,0.2857142857142857,94.28571428571428,0.8571428571428571,91.42857142857143,LOW SAMPLE
2500m～,26,4,0.15384615384615385,52.69230769230769,0.38461538461538464,53.07692307692308,LOW SAMPLE
～1200m,131,31,0.2366412213740458,58.3206106870229,0.48854961832061067,73.43511450381679,
