bin,sample_size,mean_predicted_probability,actual_win_rate,difference
0～5%,285,0.02482648910217211,0.021052631578947368,-0.0037738575232247433
5～10%,186,0.06922742395101486,0.07526881720430108,0.0060413932532862175
10～15%,70,0.12115155335237811,0.12857142857142856,0.007419875219050451
15～20%,39,0.1728548307353111,0.23076923076923078,0.05791440003391968
20～25%,23,0.22551280487635927,0.17391304347826086,-0.05159976139809841
25～30%,19,0.2740636037623358,0.2631578947368421,-0.010905709025493704
30%以上,9,0.3265618391441655,0.3333333333333333,0.006771494189167837
