race_class,sample_size,top1_hit_rate,top3_hit_rate,win_ROI,place_ROI,profit
LISTED,1,0.0,0.0,-100.0,-100.0,-100.0
UNKNOWN,49,0.22448979591836735,0.5510204081632653,-38.163265306122454,-30.0,-1870.0
